Cuisine,Cuisine_ID
american-recipes,1
british-recipes,2
caribbean-recipes,3
jerk-chicken-recipes,4
chinese-recipes,5
french-recipes,6
greek-recipes,7
japanese-recipes,8
katsu-curry-recipes,9
scandinavian-recipes,10
german-recipes,11
mexican-recipes,12
moroccan-recipes,13
spanish-recipes,14
thai-recipes,15
mediterranean-recipes,16
chicken-tagine-recipes,17
lamb-tagine-recipes,18
tagine-recipes,19
turkish-recipes,20
vietnamese-recipes,21
middle-eastern-recipes,22
vegetarian-tagine-recipes,23
polish-baking-recipes,24
chinese-new-year-recipes,25
burrito-recipes,26
chapati-recipes,27
enchilada-recipes,28
gratin-recipes,29
healthy-chinese-recipes,30
indian-recipes,31
healthy-indian-recipes,32
indian-sweets-recipes,33
irish-recipes,34
italian-recipes,35
italian-dessert-recipes,36
italian-pasta-recipes,37
jewish-recipes,38
korean-recipes,39
pad-thai-recipes,40
sushi-recipes,41
persian-new-year-recipes,42
satay-recipes,43
tapas-recipes,44
vegetarian-greek-recipes,45
vegetarian-indian-recipes,46
vegetarian-mexican-recipes,47
healthy-mexican-recipes,48
onion-bhaji-recipes,49
french-onion-soup-recipes,50
potato-rosti-recipes,51
harissa-recipes,52
miso-recipes,53
tamarind-recipes,54
noodle-recipes,55
ramen-recipes,56
samosa-recipes,57
rice-noodles-recipes,58
paella-recipes,59
healthy-paella-recipes,60
egg-fried-rice-recipes,61
fried-rice-recipes,62
healthy-fried-rice-recipes,63
risotto-recipes,64
vegetarian-risotto-recipes,65
healthy-risotto-recipes,66
chicken-risotto-recipes,67
biriyani-recipes,68
pilaf-recipes,69
salsa-recipes,70
raita-recipes,71
thai-green-curry-recipes,72
thai-red-curry-recipes,73
thai-chicken-soup-recipes,74
curry-recipes,75
fish-curry-recipes,76
chicken-curry-recipes,77
healthy-curry-recipes,78
prawn-curry-recipes,79
beef-curry-recipes,80
shakshuka-recipes,81
european-baking-recipes,82
